Id,Entidad financiera,Dirección,Localidad,CP,Telediscado,Teléfono,Fax,Caj.Aut.,Latitud,Longitud
6109,BANCO MACRO S.A.,MELCHOR FRACALOSSI 101 PB,SANTA MARIA,N3350ASR,,,,NO,-27.8932,-55.3555
6110,BANCO MACRO S.A.,AV. ROTH PB Y F. PUERTA,SANTO PIPO,N3328ACB,,,,NO,-27.14138,-55.409568
6111,BANCO MACRO S.A.,PADRE TIJON HNATIUK 73 PB DPTO: 1,TRES CAPONES,N3350ASR,,,,NO,-28.004236,-55.609492
6112,BANCO MACRO S.A.,CAMPO GRANDE 390 PB,VILLA BONITA,N3361ABE,,,,NO,-27.481556,-54.963099
6113,BANCO MACRO S.A.,20 DE JUNIO 1224 PB,WANDA,N3376AEA,,,,NO,-25.973758,-54.563472
6114,NUEVO BANCO DE ENTRE RÍOS S.A.,PASCUAL VELZI 1940,1º DE MAYO,E3263XAI,,,,NO,-32.16,-68.25
6115,NUEVO BANCO DE ENTRE RÍOS S.A.,NICOLAS AVELLANEDA 1525,ALDEA BRASILERA,E3101XAH,,,,NO,-31.890675,-60.586121
6116,NUEVO BANCO DE ENTRE RÍOS S.A.,PRESIDENTE JUAN DOMINGO PERON 218,ALDEA MARIA LUISA,E3114XAI,,,,NO,-31.884825,-60.411802
6117,NUEVO BANCO DE ENTRE RÍOS S.A.,AV. DE LOS INMIGRANTES 299,ALDEA SAN ANTONIO,E3117XAB,,,,NO,-32.37341,-58.42116
6118,NUEVO BANCO DE ENTRE RÍOS S.A.,1 DE MAYO 137,ALDEA VALLE MARIA,E3101AAA,,,,NO,-31.59329,-60.35215
6119,NUEVO BANCO DE ENTRE RÍOS S.A.,LAURENCENA S/N,ARANGUREN,E3164APP,,,,NO,-32.14402,-60.09374
6120,BANCO DE LA NACION ARGENTINA,AV. SAN MARTIN 500,BASAVILBASO,E3170CUR,,,,NO,-32.370828,-588.77189
6121,NUEVO BANCO DE ENTRE RÍOS S.A.,DR. BERNARDO UCHITEL 501,BASAVILBASO,E3170DKK,,,,NO,-32.22174,-58.52351
6122,NUEVO BANCO DE ENTRE RÍOS S.A.,DR. MARCISCANO S/N,BOVRIL,E3142BWB,,,,NO,-31.20344,-59.2641
6123,BANCO DE LA NACION ARGENTINA,HIPOLITO YRIGOYEN 91,BOVRIL,E3142BBA,,,,NO,-31.3422,-594.4711
6124,NUEVO BANCO DE ENTRE RÍOS S.A.,SAN MIGUEL 198,BOVRIL,E3142BWB,,,,NO,-31.20344,-59.2641
6125,NUEVO BANCO DE ENTRE RÍOS S.A.,CALLE 10 693,CASEROS,E3262ACG,,,,NO,-32.27508,-58.28502
6126,NUEVO BANCO DE ENTRE RÍOS S.A.,CALLE 10 S/N,CASEROS,E3262ACG,,,,NO,-32.27508,-58.28502
6127,NUEVO BANCO DE ENTRE RÍOS S.A.,CAP. GRAL. JOSE DE SAN MARTIN S/N,CEIBAS,E2823XAL,,,,NO,-33.501,-58.8074
6128,NUEVO BANCO DE ENTRE RÍOS S.A.,SAN MARTIN 136,CERRITO,E3122BLD,,,,NO,-31.3459,-60.04002
6129,BANCO MACRO S.A.,JUSTO JOSE DE URQUIZA 1280 PB,CHAJARI,E3228FHH,,,,NO,-30.759913,-57.983514
6130,BANCO DE CORRIENTES S.A.,MANUEL BELGRANO 1798,CHAJARI,E3228BDN,,,,NO,-30.753911,-57.985113
6131,BANCO DE LA NACION ARGENTINA,SARMIENTO 2699,CHAJARI,E3228EZK,,,,NO,-30.758331,-579.79885
6132,BANCO DE LA NACION ARGENTINA,SARMIENTO 2699,CHAJARI,E3228EZK,,,,NO,-30.75833,-579.79885
6133,NUEVO BANCO DE ENTRE RÍOS S.A.,URQUIZA 1402,CHAJARI,E3228FHL,,,,NO,-30.45321,-57.59045
6134,BANCO DE LA NACION ARGENTINA,12 DE ABRIL 151,COLON,E3280AAC,,,,NO,-32.219763,-581.36462
